21:28:09	[LOG_INFO]	[DBConfig.csv is loading...]
21:28:09	[LOG_INFO]	string,string
21:28:09	[LOG_INFO]	World,112.145.214.226
21:28:09	[LOG_INFO]	Account,112.145.214.226
21:28:09	[LOG_INFO]	Game,112.145.214.226
21:28:09	[LOG_INFO]	[DBConfig.csv is loaded...]
21:28:09	[LOG_INFO]	[ServerConfig.csv is loading...]
21:28:09	[LOG_INFO]	string,int32_t,int32_t
21:28:09	[LOG_INFO]	Login,1,1000
21:28:09	[LOG_INFO]	[ServerConfig.csv is loaded...]
21:28:09	[LOG_CONNECT]	WorldDB is Connected
21:28:09	[LOG_DEBUG]	[Server Type]: Login
21:28:09	[LOG_DEBUG]	[GroupID]: 0
21:28:09	[LOG_DEBUG]	[WorldID]: 1
21:28:09	[LOG_DEBUG]	[ServerID]: 1000
21:28:09	[LOG_INFO]	[Data/CharacterCreateStat.csv is loading...]
21:28:09	[LOG_INFO]	int32_t,int32_t,int32_t
21:28:09	[LOG_INFO]	10 ,0 ,0 
21:28:09	[LOG_INFO]	2 ,8 ,0 
21:28:09	[LOG_INFO]	0 ,0 ,10 
21:28:09	[LOG_INFO]	0 ,10 ,0 
21:28:09	[LOG_INFO]	[Data/CharacterCreateStat.csv is loaded...]
21:28:09	[LOG_INFO]	[Data/CharacterCreateGear.csv is loading...]
21:28:09	[LOG_INFO]	uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t
21:28:09	[LOG_INFO]	1 ,2 ,1 ,0 ,1 ,1 ,1 ,0 ,0 
21:28:09	[LOG_INFO]	0 ,1 ,1 ,0 ,1 ,1 ,1 ,0 ,0 
21:28:09	[LOG_INFO]	0 ,0 ,1 ,0 ,1 ,1 ,1 ,0 ,0 
21:28:09	[LOG_INFO]	1 ,1 ,1 ,0 ,1 ,1 ,1 ,0 ,0 
21:28:09	[LOG_INFO]	[Data/CharacterCreateGear.csv is loaded...]
21:28:09	[LOG_INFO]	[Data/CharacterAbilityByStat.csv is loading...]
21:28:09	[LOG_INFO]	uint8_t,uint8_t,uint8_t,uint8_t,uint8_t,uint8_t
21:28:09	[LOG_INFO]	8 ,2 ,10 ,0 ,7 ,3 
21:28:09	[LOG_INFO]	5 ,5 ,8 ,2 ,6 ,4 
21:28:09	[LOG_INFO]	3 ,7 ,0 ,10 ,3 ,7 
21:28:09	[LOG_INFO]	[Data/CharacterAbilityByStat.csv is loaded...]
21:28:09	[LOG_DEBUG]	Server is Running...
21:28:09	[LOG_DEBUG]	[Thread Num]: 41
21:28:09	[LOG_DEBUG]	[Port]: 7000
22:53:41	[LOG_CONNECT]	oid(0)	[ip]: 127.0.0.1
22:53:41	[LOG_CONNECT]	AccountDB is Connected
22:53:41	[LOG_CONNECT]	GameDB is Connected
22:53:43	[LOG_DISCONNECT]	oid(0)	
22:58:36	[LOG_CONNECT]	oid(1)	[ip]: 127.0.0.1
22:58:37	[LOG_DISCONNECT]	oid(1)	
22:58:49	[LOG_CONNECT]	oid(2)	[ip]: 127.0.0.1
22:58:54	[LOG_CONNECT]	oid(3)	[ip]: 127.0.0.1
22:58:55	[LOG_DISCONNECT]	oid(3)	
22:59:02	[LOG_DISCONNECT]	oid(2)	
22:59:13	[LOG_CONNECT]	oid(4)	[ip]: 127.0.0.1
22:59:14	[LOG_DISCONNECT]	oid(4)	
22:59:34	[LOG_CONNECT]	oid(5)	[ip]: 127.0.0.1
22:59:35	[LOG_DISCONNECT]	oid(5)	
22:59:56	[LOG_CONNECT]	oid(6)	[ip]: 127.0.0.1
22:59:58	[LOG_DISCONNECT]	oid(6)	
23:00:20	[LOG_CONNECT]	oid(7)	[ip]: 127.0.0.1
23:00:23	[LOG_CONNECT]	oid(8)	[ip]: 127.0.0.1
23:00:25	[LOG_DISCONNECT]	oid(8)	
23:00:35	[LOG_DISCONNECT]	oid(7)	
23:01:01	[LOG_CONNECT]	oid(9)	[ip]: 127.0.0.1
23:01:03	[LOG_CONNECT]	oid(10)	[ip]: 127.0.0.1
23:01:04	[LOG_DISCONNECT]	oid(10)	
23:01:04	[LOG_DISCONNECT]	oid(9)	
23:01:18	[LOG_CONNECT]	oid(11)	[ip]: 127.0.0.1
23:01:19	[LOG_CONNECT]	oid(12)	[ip]: 127.0.0.1
23:01:21	[LOG_DISCONNECT]	oid(12)	
23:01:34	[LOG_DISCONNECT]	oid(11)	
23:02:31	[LOG_CONNECT]	oid(13)	[ip]: 127.0.0.1
23:02:33	[LOG_DISCONNECT]	oid(13)	
23:02:44	[LOG_CONNECT]	oid(14)	[ip]: 127.0.0.1
23:02:46	[LOG_DISCONNECT]	oid(14)	
23:03:26	[LOG_CONNECT]	oid(15)	[ip]: 127.0.0.1
23:03:30	[LOG_DISCONNECT]	oid(15)	
23:04:29	[LOG_CONNECT]	oid(16)	[ip]: 127.0.0.1
23:04:30	[LOG_CONNECT]	oid(17)	[ip]: 127.0.0.1
23:04:32	[LOG_DISCONNECT]	oid(17)	
23:04:34	[LOG_DISCONNECT]	oid(16)	
23:06:02	[LOG_CONNECT]	oid(18)	[ip]: 127.0.0.1
23:06:03	[LOG_DISCONNECT]	oid(18)	
23:06:22	[LOG_CONNECT]	oid(19)	[ip]: 127.0.0.1
23:06:23	[LOG_DISCONNECT]	oid(19)	
23:06:32	[LOG_CONNECT]	oid(20)	[ip]: 127.0.0.1
23:06:34	[LOG_DISCONNECT]	oid(20)	
23:07:48	[LOG_CONNECT]	oid(21)	[ip]: 127.0.0.1
23:07:48	[LOG_CONNECT]	GameDB is Connected
23:07:49	[LOG_DISCONNECT]	oid(21)	
23:07:54	[LOG_CONNECT]	oid(22)	[ip]: 127.0.0.1
23:07:56	[LOG_DISCONNECT]	oid(22)	
